Time,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
0,20,20,20,20,20,20,20,20,20,20,20
900,20.1962093876904,20.000253893271,20.0000000062064,19.9999999999999,20,20,19.9999999999999,19.9999999999999,19.9999999999999,19.9999999999999,20
1800,20.3915785766602,20.0042055633999,20.0000051421104,20.0000000006748,19.9999999999999,19.9999999999999,19.9999999999998,19.9999999999998,19.9999999999998,19.9999999999998,19.9999999999999
2700,20.5852709660484,20.0145789155868,20.000085591819,20.0000001033335,20.0000000000259,19.9999999999998,19.9999999999998,19.9999999999997,19.9999999999997,19.9999999999998,19.9999999999998
3600,20.7764571353076,20.0308887435871,20.0004229107166,20.0000017452559,20.0000000021,20.0000000000005,19.9999999999997,19.9999999999996,19.9999999999996,19.9999999999997,19.9999999999997
4500,20.9643183959095,20.0520274915252,20.0012138455379,20.0000109003086,20.0000000358788,20.0000000000428,19.9999999999996,19.9999999999996,19.9999999999996,19.9999999999996,19.9999999999996
5400,21.1480502970953,20.0769783438372,20.002596299349,20.000039845137,20.0000002641048,20.0000000007431,20.0000000000004,19.9999999999995,19.9999999999995,19.9999999999995,19.9999999999996
6300,21.326866070657,20.1049006273636,20.0046414264688,20.000105434114,20.0000011686401,20.0000000061768,20.000000000015,19.9999999999994,19.9999999999994,19.9999999999994,19.9999999999995
7200,21.5,20.135104631142,20.0073690567255,20.0002259196556,20.0000037112006,20.0000000318431,20.0000000001408,19.9999999999997,19.9999999999993,19.9999999999994,19.9999999999994
8100,21.6667106990588,20.167015822666,20.0107644424791,20.0004182983704,20.0000093755974,20.0000001180747,20.0000000008246,20.0000000000024,19.9999999999993,19.9999999999993,19.9999999999993
9000,21.8262842870262,20.2001457947817,20.0147909511038,20.000696747937,20.000020086868,20.0000003453532,20.0000000034907,20.0000000000198,19.9999999999993,19.9999999999992,19.9999999999993
9900,21.9780374453002,20.2340710433233,20.0193986813061,20.0010719799943,20.0000380569888,20.0000008465138,20.0000000116215,20.0000000000969,19.9999999999996,19.9999999999991,19.9999999999992
10800,22.1213203435596,20.2684178827109,20.0245300650714,20.0015511777906,20.0000656109386,20.0000018123632,20.0000000321984,20.0000000003639,20.0000000000017,19.9999999999991,19.9999999999991
11700,22.2555194224369,20.3028517701249,20.030123444948,20.0021382470606,20.0001050288354,20.0000034898498,20.0000000772586,20.0000000011281,20.0000000000098,19.9999999999991,19.999999999999
12600,22.3800600208737,20.3370697268239,20.0361153423295,20.0028342036015,20.000158420717,20.0000061739376,20.0000001652717,20.000000003009,20.000000000036,19.9999999999992,19.999999999999
13500,22.4944088369076,20.370794933535,20.0424418931599,20.0036375963866,20.000227637474,20.0000101952703,20.0000003220936,20.0000000071072,20.0000000001078,20,19.9999999999989
14400,22.5980762113533,20.4037728625888,20.0490397581358,20.0045449141417,20.0003142145353,20.0000159057836,20.000000581358,20.0000000151924,20.0000000002809,20.0000000000025,19.9999999999988
15300,22.6906182245981,20.4357685065137,20.0558467028535,20.0055509522261,20.0004193422005,20.000023664041,20.0000009842788,20.0000000298848,20.0000000006568,20.0000000000092,19.9999999999989
16200,22.7716385975339,20.4665643962648,20.0628019717737,20.0066491325169,20.0005438561494,20.0000338215362,20.0000015789212,20.0000000548108,20.0000000014042,20.0000000000251,19.999999999999
