Time,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
17100,22.8407903884853,21.8852346534001,21.009215244609,20.4301488091501,20.143687600072,20.0370692495301,20.0072972928286,20.0010860801035,20.0001214045737,20.0000101471065,20.0000006324176
18000,22.8977774788672,21.9909362313023,21.1114670268099,20.4992735124667,20.178012151533,20.0497066464338,20.0107471610338,20.0017832594722,20.0002255861065,20.0000216564959,20.0000015730911
18900,22.9423558412097,22.0899513783987,21.2133869572022,20.5720616016422,20.2164830233919,20.0649643269484,20.0152955482248,20.0028013417625,20.000396506553,20.0000431702551,20.0000036041225
19800,22.9743345841214,22.1816804637189,21.3142090110083,20.6479789077309,20.2590057270333,20.083020157679,20.021128357319,20.0042343419294,20.0006640045612,20.0000810913216,20.0000076871961
20700,22.9935767697158,22.2655759231875,21.4131987486842,20.7264710946532,20.3054308082866,20.1040151153591,20.0284294846037,20.006187699814,20.0010657944424,20.0001445966953,20.0000153998305
21600,23,22.3411415676063,21.5096543291911,20.8069702195555,20.3555594360298,20.1280514171196,20.0373761877077,20.0087764836404,20.0016479301134,20.0002462771522,20.000029193336
22500,22.9935767697158,22.4079321968075,21.6029074656522,20.8889003720201,20.409148922653,20.1551917068425,20.0481348922336,20.0121232130806,20.0024649682458,20.000402758538,20.0000527003288
23400,22.9743345841214,22.4655534162418,21.6923243546477,20.9716825647072,20.4659180689825,20.1854591074343,20.0608575196757,20.01635542173,20.0035798186961,20.0006352663645,20.000091083694
24300,22.9423558412097,22.5136615751984,21.7773065921821,21.054739014982,20.5255522716364,20.2188379676775,20.0756783761839,20.0216030726897,20.0050632897194,20.0009700987022,20.0001514146458
25200,22.8977774788672,22.5519637631889,21.8572920779362,21.1374969290676,20.5877083617107,20.2552751547196,20.092711609319,20.0279959288643,20.006993351089,20.001438978138,20.0002430642663
26100,22.8407903884853,22.5802178143128,21.9317559024235,21.2193918770145,20.6520191641402,20.2946817660785,20.1120492168711,20.0356609643626,20.0094541496463,20.0020792608839,20.0003780908723
27000,22.7716385975339,22.5982322797338,22.0002112075925,21.2998708277767,20.7180977800627,20.3369351564975,20.1337595764186,20.0447198871151,20.0125348191049,20.002933989119,20.0005716048567
27900,22.6906182245981,22.6058663365144,22.0622100092388,21.3783948983043,20.7855416022754,20.381881194168,20.1578864549328,20.055286826941,20.0163281296179,20.0040517805574,20.0008420931845
28800,22.5980762113533,22.6030296075356,22.1173439686619,21.4544418582139,20.8539360780599,20.4293366774151,20.1844484528924,20.067466228709,20.020929023332,20.0054865565273,20.0012116873338
29700,22.4944088369076,22.5896818724723,22.1652451008757,21.5275084217427,20.9228582354314,20.4790918569165,20.2134388357971,20.0813509774255,20.026433080577,20.0072971161376,20.0017063608991
