Time,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
18000,18.1651090975926,20.358570209083,20.0409136997441,20.0053978551194,20.0005862549977,20.0000471276562,20.0000026738354,20.0000001083157,20.0000000031885,20.0000000000661,19.9999999999995
18900,23.3726534431852,20.2958750235082,20.0469944058358,20.0060102308247,20.0006855322745,20.00006007518,20.0000038222737,20.0000001757285,20.0000000059292,20.0000000001457,20.0000000000011
19800,21.4147690798575,20.2782782764997,20.0520838119737,20.0067150921608,20.0007915049444,20.0000745688699,20.0000052484266,20.0000002711256,20.0000000103731,20.0000000002948,20.0000000000046
20700,19.5281325653625,20.3073058115133,20.0547992824883,20.0075239384245,20.0009055588112,20.0000906114505,20.0000069660324,20.0000004002102,20.0000000172024,20.0000000005565,20.0000000000119
21600,24.4260023680761,20.2894463500956,20.0572460686029,20.0083573585101,20.0010302498637,20.0001082403147,20.0000089862958,20.0000005683541,20.0000000272084,20.0000000009905,20.0000000000259
22500,21.3264256311181,20.3204878695217,20.05947774589,20.0091595318984,20.0011664936235,20.0001275646812,20.0000113196534,20.0000007805131,20.0000000412646,20.000000001675,20.0000000000508
23400,20.94130552667,20.3678672894262,20.0615805879624,20.0099229779151,20.0013124535049,20.0001487465188,20.0000139780124,20.000001041242,20.0000000602985,20.0000000027075,20.0000000000929
24300,19.3332343026199,20.3617134716268,20.0649681344653,20.0106460061977,20.0014652651735,20.00017190841,20.0000169769603,20.0000013547874,20.0000000852669,20.0000000042038,20.0000000001609
25200,18.9026048558649,20.3111736472038,20.0686407188793,20.0113599069351,20.0016222548139,20.0001970645283,20.0000203355125,20.0000017252516,20.0000001171374,20.0000000062969,20.0000000002661
26100,17.8473789515334,20.2302796790999,20.0708016100422,20.0120980181068,20.0017817708237,20.0002241178493,20.0000240727576,20.0000021567667,20.0000001568794,20.0000000091349,20.0000000004226
27000,19.8656206961524,20.1347428448795,20.0701278840288,20.0128369591495,20.0019437542307,20.0002529001548,20.0000282035265,20.0000026535718,20.0000002054621,20.0000000128785,20.0000000006478
27900,18.9203463562147,20.071450417516,20.0661912917344,20.0134955884731,20.0021084521845,20.000283236345,20.0000327353837,20.000003219926,20.0000002638595,20.0000000176993,20.0000000009621
28800,21.4716328674576,20.0378553658736,20.059773184799,20.0139694420168,20.0022741691428,20.0003149858588,20.0000376681601,20.0000038598873,20.0000003330532,20.000000023778,20.0000000013886
29700,20.0235577172297,20.0450007572862,20.0525780008753,20.0141752028597,20.0024359198301,20.0003480095363,20.0000429957379,20.0000045770533,20.0000004140299,20.0000000313035,20.0000000019539
30600,23.1534873537799,20.070580391894,20.0460505396118,20.0140922301808,20.0025858170049,20.0003820700402,20.0000487078607,20.0000053743665,20.0000005077692,20.0000000404715,20.0000000026869
31500,22.7658735927891,20.1300799286064,20.041395828817,20.0137646214168,20.0027151368251,20.0004167258126,20.000054789181,20.0000062540243,20.0000006152245,20.0000000514842,20.0000000036193
32400,20.7460154753612,20.2183373221441,20.0391934694469,20.0132841678869,20.0028169664033,20.0004512872608,20.0000612144455,20.0000072174283,20.0000007373006,20.0000000645484,20.0000000047853
33300,20.0758544282422,20.2572446677634,20.0403316353252,20.0127614941577,20.0028881706165,20.0004848722829,20.0000679413973,20.0000082650381,20.000000874833,20.0000000798737,20.0000000062214
